"Products by %s: %s","Produse după %s: %s"
"New %s Info Page for %s (in %s store)","Adaugă pagină de %s pentru %s (în magazinul %s)"
"Edit %s Info Page for %s (in %s store)","Modifică pagina de %s pentru %s (în magazinul %s)"
"List of products for this %s","Lista produselor pentru acest %s"
"Visit %s on the web","Vizitează pagina de prezentare %s"
"Manufacturers","Toţi producătorii"
"All manufacturers","Toţi producătorii"
"Our favorite manufacturers","Producătorii cei mai căutaţi"
"Personajs","Toate personajele"
"All personajs","Toate personajele"
"Our favorite personajs","Personajele cele mai căutate"
"or","sau"
"View all manufacturers","Vezi toţi producătorii"
"Favorite manufacturers","Producători renumiţi"
